City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Sao Paulo,UberX,COMPLETED,2022-02-19 16:06:56 +0000 UTC,2022-02-19 16:16:32 +0000 UTC,-23.512115,-46.52028,"R. Samuel Rubli, 006 - Jardim Arizona, São Paulo - SP, 03735-370, Brasil",2022-02-19 16:53:32 +0000 UTC,-23.599855,-46.45185,"R. Francisco de Melo Palheta, 812 - Parque Boa Esperança, São Paulo - SP, 08341-280, Brasil",11.20,42.24,BRL
Sao Paulo,UberX,COMPLETED,2022-02-14 06:29:57 +0000 UTC,2022-02-14 06:37:29 +0000 UTC,-23.59985,-46.45179,"R. Francisco de Melo Palheta, 812 - Parque Boa Esperança, São Paulo - SP, 08341-280, Brasil",2022-02-14 07:20:15 +0000 UTC,-23.512016,-46.520157,"Rua Manuel Leiroz, 20 - Vila Buenos Aires, São Paulo - SP, 37351-180, Brasil",16.58,56.97,BRL
Sao Paulo,UberX,COMPLETED,2022-02-09 12:58:20 +0000 UTC,2022-02-09 13:06:00 +0000 UTC,-23.62545,-46.487038,"Av. Nestor de Barros, 700 - Jardim Ana Maria, Santo André - SP, 09260-520, Brasil",2022-02-09 13:10:00 +0000 UTC,-23.633808,-46.49379,"R. Atabasca, 877 - Jardim Santo Alberto, Santo André - SP, 09260-430, Brasil",1.05,9.91,BRL
Sao Paulo,UberX,CANCELED,2022-02-09 12:50:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.621725,-46.5273,"R. Leonilda, 383 - Vila Camilópolis - Santo André - SP, 09230-260",1970-01-01 00:00:00 +0000 UTC,-23.62400269508362,-46.52271211147308,"Rua Teresópolis, 190 - Jardim Santo Antônio - Santo André - SP, 09240-150",0.00,0,BRL
Sao Paulo,UberX,CANCELED,2022-02-09 12:35:15 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.631184,-46.523926,"Largo Santo Antônio, 116 - Jardim Santo Antônio - Santo André - SP, 09240-430",1970-01-01 00:00:00 +0000 UTC,-23.62204599380493,-46.51696872711182,"Rua das Maravilhas, 449 - Jardim das Maravilhas - Santo André - SP, 09250-000",0.00,0,BRL
Sao Paulo,UberX,COMPLETED,2021-12-07 11:31:04 +0000 UTC,2021-12-07 11:36:38 +0000 UTC,-23.512215,-46.520172,"R. Samuel Rubli, 2 - Jardim Arizona, São Paulo - SP, 03735-370, Brasil",2021-12-07 11:47:27 +0000 UTC,-23.531454,-46.529984,"R. Alvinópolis, 1439 - Vila Matilde, São Paulo - SP, 03644-070, Brasil",2.25,22.98,BRL
Sao Paulo,UberX Promo,COMPLETED,2021-10-15 13:13:10 +0000 UTC,2021-10-15 13:20:23 +0000 UTC,-23.510958,-46.550884,"Av. Gabriela Mistral, 1160 - Penha de França, São Paulo - SP, 03701-001, Brasil",2021-10-15 13:33:35 +0000 UTC,-23.51205,-46.520256,"Rua Manuel Leiroz, 20 - Vila Buenos Aires, São Paulo - SP, 37351-180, Brasil",2.79,9.9,BRL
Sao Paulo,UberX,COMPLETED,2021-10-15 12:43:04 +0000 UTC,2021-10-15 12:47:40 +0000 UTC,-23.511942,-46.520306,"Rua Manuel Leiroz, 297 - Vila Penteado, São Paulo - SP, 03735-180, Brasil",2021-10-15 12:57:14 +0000 UTC,-23.510899,-46.55088,"Av. Gabriela Mistral, 1176 - Penha de França, São Paulo - SP, 03701-001, Brasil",2.48,10.91,BRL
Sao Paulo,UberX,COMPLETED,2021-08-26 22:05:37 +0000 UTC,2021-08-26 22:13:22 +0000 UTC,-23.52418,-46.547478,"R. Dr. João Ribeiro, 313 - Penha de França, São Paulo - SP, 03634-010, Brasil",2021-08-26 22:25:15 +0000 UTC,-23.511808,-46.520287,"Rua Manuel Leiroz, 337 - Vila Buenos Aires, São Paulo - SP, 03735-180, Brasil",2.56,12.98,BRL
Sao Paulo,UberX Promo,COMPLETED,2021-08-26 21:03:00 +0000 UTC,2021-08-26 21:25:11 +0000 UTC,-23.511814,-46.520233,"Rua Manuel Leiroz, 210 - Vila Penteado, São Paulo - SP, 03735-180, Brasil",2021-08-26 21:39:54 +0000 UTC,-23.525164,-46.54618,"Penha de França, São Paulo - SP, 03634-040, Brasil",2.72,10.94,BRL
Sao Paulo,UberX,COMPLETED,2021-07-24 17:03:23 +0000 UTC,2021-07-24 17:05:45 +0000 UTC,-23.611977,-46.474598,"Av. Sapopemba, 3790 - São Mateus, São Paulo - SP, 03989-000, Brasil",2021-07-24 17:12:17 +0000 UTC,-23.630625,-46.463474,"Rua Euvaldo Loureiro Villaboim, 80 - São Rafael, São Paulo - SP, 08310-170, Brasil",1.55,10.95,BRL
Sao Paulo,UberX,CANCELED,2021-07-24 16:58:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.623003,-46.477695,"Rua Senador Filinto Müller, 42 - São Paulo - SP, 08320-110",1970-01-01 00:00:00 +0000 UTC,-23.62290322780609,-46.47479796409607,"Rua Aldeia de Santo Inácio, 272 - São Rafael - São Paulo - SP, 08320-560",0.00,0,BRL
Sao Paulo,UberX,COMPLETED,2021-07-23 14:41:50 +0000 UTC,2021-07-23 14:47:01 +0000 UTC,-23.510845,-46.5509,"Av. Gabriela Mistral, 1176 - Penha de França, São Paulo - SP, 03701-001, Brasil",2021-07-23 14:54:48 +0000 UTC,-23.526579,-46.5512,"R. Frei Germano, 83 - Penha de França, São Paulo - SP, 03604-030, Brasil",1.35,7.6,BRL
Sao Paulo,UberX,COMPLETED,2021-07-23 12:31:58 +0000 UTC,2021-07-23 12:36:09 +0000 UTC,-23.526611,-46.551174,"R. Frei Germano, 83 - Penha de França, São Paulo - SP, 03604-030, Brasil",2021-07-23 12:43:16 +0000 UTC,-23.510944,-46.550865,"Av. Gabriela Mistral, 1168 - Penha de França, São Paulo - SP, 03701-001, Brasil",1.49,7.71,BRL
Sao Paulo,UberX,CANCELED,2021-07-23 12:10:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.530285,-46.5515,"Rua Recife, 213 - Penha - São Paulo - SP, 03631-020",1970-01-01 00:00:00 +0000 UTC,-23.54632246494293,-46.57993078231812,"Avenida Salim Farah Maluf, 1850 - São Paulo - SP, 03304-090",0.00,0,BRL
Sao Paulo,UberX,COMPLETED,2021-07-17 21:58:29 +0000 UTC,2021-07-17 22:04:38 +0000 UTC,-23.510595,-46.43066,"Av. Nordestina, 3037 - Guaianases, São Paulo - SP, 08032-000, Brasil",2021-07-17 22:11:06 +0000 UTC,-23.520758,-46.42329,"R. Cambacica, 166 - Vila Curuçá Velha, São Paulo - SP, 08032-440, Brasil",1.19,11.18,BRL
Sao Paulo,UberX,COMPLETED,2021-06-19 20:55:57 +0000 UTC,2021-06-19 21:00:54 +0000 UTC,-23.521599,-46.440502,"R. Padre Antão Jorge, 228 - Vila Progresso (Zona Leste), São Paulo - SP, 08245-100, Brasil",2021-06-19 21:32:53 +0000 UTC,-23.526562,-46.551193,"Rua Frei Germano, 74 - Penha - São Paulo - SP, 03604-030",8.80,27.91,BRL
Sao Paulo,UberX,COMPLETED,2021-06-14 02:15:55 +0000 UTC,2021-06-14 02:21:58 +0000 UTC,-23.521605,-46.440426,"R. Padre Antão Jorge, 228 - Vila Progresso (Zona Leste), São Paulo - SP, 08245-100, Brasil",2021-06-14 02:40:17 +0000 UTC,-23.526676,-46.55117,"Rua Frei Germano, 74 - Penha - São Paulo - SP, 03604-030",9.05,32.98,BRL
Sao Paulo,UberX,COMPLETED,2021-05-25 01:16:22 +0000 UTC,2021-05-25 01:20:40 +0000 UTC,-23.526562,-46.55119,"Rua Frei Germano, 74 - Penha - São Paulo - SP, 03604-030",2021-05-25 01:26:00 +0000 UTC,-23.533346,-46.543274,"Penha de França, São Paulo - SP, 03638, Brasil",1.06,7.15,BRL
Sao Paulo,UberX,COMPLETED,2021-05-03 14:56:56 +0000 UTC,2021-05-03 15:00:47 +0000 UTC,-23.526403,-46.551563,"R. Comendador Cantinho, 200 - Penha de França, São Paulo - SP, 03603-020, Brasil",2021-05-03 15:07:57 +0000 UTC,-23.512947,-46.55488,"Av. Condessa Elizabeth de Robiano, 5500 - Jardim Jaú (Zona Leste), São Paulo - SP, 03707-015, Brasil",1.66,8.05,BRL
Sao Paulo,UberX,COMPLETED,2021-04-09 13:29:31 +0000 UTC,2021-04-09 13:45:39 +0000 UTC,-23.567425,-46.50449,"Av. Aricanduva, 5555 - Vila California, São Paulo - SP, 03527-906, Brasil",2021-04-09 14:08:49 +0000 UTC,-23.526663,-46.55117,"Rua Frei Germano, 74 - Penha - São Paulo - SP, 03604-030",4.68,15.48,BRL
Sao Paulo,UberX,COMPLETED,2021-04-09 11:38:27 +0000 UTC,2021-04-09 11:42:17 +0000 UTC,-23.5266,-46.55119,"Rua Frei Germano, 74 - Penha - São Paulo - SP, 03604-030",2021-04-09 12:03:08 +0000 UTC,-23.56729,-46.50458,"Av. Aricanduva, 5555 - Vila California, São Paulo - SP, 03527-906, Brasil",6.41,23.38,BRL
Sao Paulo,UberX,COMPLETED,2021-03-20 13:53:25 +0000 UTC,2021-03-20 13:57:43 +0000 UTC,-23.567354,-46.50444,"Av. Aricanduva, 5555 - Vila California, São Paulo - SP, 03527-906, Brasil",2021-03-20 14:15:43 +0000 UTC,-23.526764,-46.550835,"R. Frei Germano, 30 - Penha de França, São Paulo - SP, 03604-030, Brasil",4.71,15.17,BRL
Sao Paulo,UberX,DRIVER_CANCELED,2021-03-20 13:48:03 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-23.567114,-46.503784,"Av. Aricanduva, 5555 - Vila Aricanduva - São Paulo - SP, 03527-000",1970-01-01 00:00:00 +0000 UTC,-23.56642186641693,-46.50229501724243,"Avenida Aricanduva, 5555 - Cidade Líder - São Paulo - SP, 03571",0.00,5,BRL
